Security Description,ISIN,CUSIP,Market Value %,GICS Sector,Country Name,MSCI ESG Rating
3I GROUP PLC,GB00B1YW4409,SB1YW4404,0.2%,Financials,United Kingdom,AA
4IMPRINT GROUP PLC,GB0006640972,S06640973,0.0%,Communication Services,United Kingdom,
888 HOLDINGS PLC,GI000A0F6407,SB0L4LM97,0.0%,Consumer Discretionary,United Kingdom,AA
A G BARR PLC,GB00B6XZKY75,SB6XZKY74,0.0%,Consumer Staples,United Kingdom,A
ABRDN PLC,GB00BF8Q6K64,SBF8Q6K67,0.1%,Financials,United Kingdom,AAA
ADMIRAL GROUP PLC,GB00B02J6398,SB02J6397,0.0%,Financials,United Kingdom,A
ALIZYME,GB0000374289,S00374280,0.0%,Health Care,United Kingdom,
ALPHA FINANCIAL MARKETS CONSULTING,GB00BF16C058,SBF16C055,0.0%,Industrials,United Kingdom,BB
ALPHA FX GROUP PLC,GB00BF1TM596,SBF1TM595,0.0%,Financials,United Kingdom,BB
ANGLO-EASTERN PLANTATIONS PLC,GB0000365774,S00365775,0.0%,Consumer Staples,United Kingdom,
ARK THERAPEUTICS GROUP PLC,GB00BSZLMS59,SBSZLMS57,0.0%,Health Care,United Kingdom,
ASHMORE GROUP PLC,GB00B132NW22,SB132NW28,0.0%,Financials,United Kingdom,AA
ASHTEAD GROUP PLC,GB0000536739,S00536730,0.1%,Industrials,United Kingdom,AA
ASOS PLC,GB0030927254,S30927255,0.0%,Consumer Discretionary,United Kingdom,AA
ASSOCIATED BRITISH FOODS PLC,GB0006731235,S06731236,0.1%,Consumer Staples,United Kingdom,AA
ASSURA REIT PLC,GB00BVGBWW93,SBVGBWW91,0.0%,Real Estate,United Kingdom,A
ASTON MARTIN LAGONDA GLOBAL HOLDIN,GB00BN7CG237,SBN7CG230,0.0%,Consumer Discretionary,United Kingdom,BBB
ASTRAZENECA PLC,GB0009895292,S09895293,0.7%,Health Care,United Kingdom,AA
AUTO TRADER GROUP PLC,GB00BVYVFW23,SBVYVFW22,0.0%,Communication Services,United Kingdom,A
AUTOMOTIVE PRODUCTS,GB0000659804,BRS9U4082,0.0%,Consumer Discretionary,United Kingdom,
AVEVA GROUP PLC,GB00BBG9VN75,SBBG9VN72,0.0%,Information Technology,United Kingdom,A
AVIVA PLC,GB00BPQY8M80,SBPQY8M87,0.1%,Financials,United Kingdom,AA
B&M EUROPEAN VALUE RETAIL SA,LU1072616219,SBMTRW109,0.0%,Consumer Discretionary,United Kingdom,BBB
BABCOCK INTERNATIONAL GROUP PLC,GB0009697037,S09697038,0.0%,Industrials,United Kingdom,A
BAE SYSTEMS PLC,GB0002634946,S02634947,0.2%,Industrials,United Kingdom,AA
BAKKAVOR GROUP,GB00BF8J3Z99,SBF8J3Z90,0.0%,Consumer Staples,United Kingdom,A
BALFOUR BEATTY PLC,GB0000961622,S00961623,0.1%,Industrials,United Kingdom,AA
BARCLAYS PLC,GB0031348658,S31348659,0.1%,Financials,United Kingdom,AA
BARRATT DEVELOPMENTS,GB0000811801,S00811802,0.1%,Consumer Discretionary,United Kingdom,AAA
BCLEAR MSCI BRAZIL INDEX JUN 22,GB00H7QSPR24,MCBM22020,0.0%,,United Kingdom,
BEAZLEY PLC,GB00BYQ0JC66,SBYQ0JC65,0.1%,Financials,United Kingdom,BBB
