number,date,company,peer_group_root,type_template,type_listing,region,country,isin,total_esg_score,governance_score,social_score,environment_score,e_1_1,e_1_2,e_1_3,e_1_4,e_1_5,e_1_6,e_1_7,e_1_8,e_1_9,e_1_10,e_1_11,e_1_12,e_1_1_1,e_1_2_1,e_1_2_2,e_1_2_3,e_1_2_4,e_1_2_6,e_1_2_7,e_1_2_8,e_1_3_2,e_1_3_3,e_1_3_4,e_1_3_5,e_1_7_0,e_1_7_1,e_1_7_2,e_2_1,e_2_2,e_2_1_2,e_2_1_1,e_2_1_3,e_2_1_4,e_2_1_5,e_2_1_6,e_2_1_7,e_2_1_8,e_2_1_9,e_2_1_10,e_3_2,e_3_1_1,e_3_1_2,e_3_1_3,e_3_1_4,e_3_1_5,e_3_1_6,e_3_1_7,e_3_1_8,e_3_1_9,e_3_1_10,e_3_1_11,e_3_1_12,e_3_1_13,e_3_1_14,e_3_1_15,e_3_1_16,e_3_1_17
1,20190902,Zurich Finance (UK) Plc,Insurance,A,Private,Europe,United Kingdom,SUSTE13EEC7B,83.65,85.47,75.21,90.33,0.5,0.8,0.25,0.5,0.5,0.5,.,0.125,0.5,0.375,0.5,3.5,.,.,.,.,.,.,.,.,.,.,.,.,0.5,.,.,0.6,1,.,.,.,.,.,.,.,.,.,.,4.95,.,.,.,.,.,.,.,.,.,.,6,.,.,.,6,.,.
2,20181101,ZPG PLC,Software & Services,Type_B,Private,Europe,United Kingdom,GB00BMHTHT14,44.48,48.14,42.03,45.08,0.625,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,1.9999,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3,20190603,ZPG PLC,Software & Services,B,Private,Europe,United Kingdom,GB00BMHTHT14,44.48,48.14,42.03,45.08,0.625,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,1.9999,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
4,20180402,ZPG PLC,Software & Services,Type_B,Public,Europe,United Kingdom,GB00BMHTHT14,47.42,59.9,42.03,45.08,0.6,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,2,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
5,20181203,ZPG PLC,Software & Services,Type_B,Private,Europe,United Kingdom,GB00BMHTHT14,44.48,48.14,42.03,45.08,0.625,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,1.9999,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
6,20190503,ZPG PLC,Software & Services,Type_B,Private,Europe,United Kingdom,GB00BMHTHT14,44.48,48.14,42.03,45.08,0.625,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,1.9999,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
7,20180801,ZPG PLC,Software & Services,Type_B,Public,Europe,United Kingdom,GB00BMHTHT14,47.37,59.7,42.03,45.08,0.6,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,2,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
8,20181001,ZPG PLC,Software & Services,Type_B,Private,Europe,United Kingdom,GB00BMHTHT14,44.48,48.14,42.03,45.08,0.6,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,1.9,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
9,20190304,ZPG PLC,Software & Services,Type_B,Private,Europe,United Kingdom,GB00BMHTHT14,44.48,48.14,42.03,45.08,0.625,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,1.9999,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10,20190204,ZPG PLC,Software & Services,Type_B,Private,Europe,United Kingdom,GB00BMHTHT14,44.48,48.14,42.03,45.08,0.625,0.9,.,.,0,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,0,2,.,.,.,.,.,.,.,.,.,.,1.9999,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
