Security Description,ISIN,CUSIP,Market Value %,GICS Sector,Country Name,MSCI ESG Rating
ABSA GROUP LTD,ZAE000255915,BPM1N35P6,0.0%,Financials,South Africa,AA
AECI LTD,ZAE000000220,S60092053,0.0%,Materials,South Africa,AA
AFRICAN RAINBOW MINERAL LTD,ZAE000054045,S60411220,0.0%,Materials,South Africa,BBB
ANGLO AMERICAN PLATINUM LTD,ZAE000013181,S67610006,0.0%,Materials,South Africa,BBB
ANGLO AMERICAN PLC,GB00B1XZS820,SB1XZS822,0.0%,Materials,South Africa,A
ANGLOGOLD ASHANTI LTD,ZAE000043485,S65656555,0.0%,Materials,"Tanzania, United Republic of",BB
ASPEN PHARMACARE LTD,ZAE000066692,SB09C0Z14,0.0%,Health Care,South Africa,AA
ASTRAL FOODS LTD,ZAE000029757,S63428361,0.0%,Consumer Staples,South Africa,A
AVI LTD,ZAE000049433,S60409588,0.0%,Consumer Staples,South Africa,AA
BARLOWORLD LTD,ZAE000026639,S60791233,0.0%,Industrials,South Africa,A
BID CORPORATION LTD,ZAE000216537,SBZBFKT78,0.0%,Consumer Staples,South Africa,BBB
BIDVEST GROUP LTD,ZAE000117321,S61000899,0.0%,Industrials,South Africa,AA
CAPITEC LTD,ZAE000035861,S64408594,0.0%,Financials,South Africa,BBB
CLICKS GROUP LTD,ZAE000134854,S61055786,0.0%,Consumer Staples,South Africa,AA
CORONATION FUND MANAGERS LTD,ZAE000047353,S66227109,0.0%,Financials,South Africa,AA
DELTA CORP ZIM LTD,ZW0009011199,S62602404,0.2%,Consumer Staples,Zimbabwe,
DIS-CHEM PHARMACIES LTD,ZAE000227831,SBYMPX127,0.0%,Consumer Staples,South Africa,BBB
DISCOVERY LTD,ZAE000022331,S61778783,0.0%,Financials,South Africa,BBB
DISTELL GROUP HLDGS SHS LTD,ZAE000248811,SBF52H711,0.0%,Consumer Staples,South Africa,AA
EDCON LTD Prvt,,BRTBUBQ74,0.0%,,South Africa,
ENDEAVOUR MINING PLC,GB00BL6K5J42,SBL6K5J49,0.0%,,Burkina Faso,AA
EQUITES PROP FUND LTD,ZAE000188843,SBN898F02,0.0%,Real Estate,South Africa,A
EXXARO RESOURCES LTD,ZAE000084992,S64188014,0.0%,Energy,South Africa,A
FAN MILK LTD,GH0000000078,S63507982,0.0%,Consumer Staples,Ghana,
FIRST QUANTUM MINERALS LTD,CA3359341052,335934105,0.0%,Materials,Zambia,BBB
FIRSTRAND LTD,ZAE000066304,S66069964,0.0%,Financials,South Africa,A
FORTRESS REIT LTD A,ZAE000248498,SBD9FS469,0.0%,Real Estate,South Africa,BB
GOLD FIELDS LTD,ZAE000018123,S62802152,0.0%,Materials,South Africa,A
GROWTHPOINT PROP LTD SHS,ZAE000179420,SBBGB5W01,0.0%,Real Estate,South Africa,AA
GUINNESS GHANA PLC,GH0000000102,S63892756,0.0%,Consumer Staples,Ghana,
HARMONY GOLD MINING COMPANY LIMITE,ZAE000015228,S64105620,0.0%,Materials,South Africa,B
HELIOS TOWERS PLC,GB00BJVQC708,SBJVQC707,0.0%,Communication Services,"Tanzania, United Republic of",AAA
HYPROP INVS LTD,ZAE000190724,SBN8SXL82,0.0%,Real Estate,South Africa,A
IMPALA PLATINUM LTD,ZAE000083648,SB1FFT763,0.0%,Materials,South Africa,A
INNSCOR AFRICA LTD,ZW0009011298,S61207312,0.1%,Consumer Staples,Zimbabwe,
INVESTEC LTD,ZAE000081949,SB17BBR62,0.0%,Financials,South Africa,AAA
JOHANNESBURG STOCK EXCHANGE LTD,ZAE000079711,SB12W5L69,0.0%,Financials,South Africa,A
KAP INTERNATIONAL HOLDINGS LTD,ZAE000171963,SB95CZJ71,0.0%,Industrials,South Africa,AA
KUMBA IRON ORE LTD,ZAE000085346,SB1G42622,0.0%,Materials,South Africa,AA
LIFE HEALTH LTD,ZAE000145892,SB4K90R18,0.0%,Health Care,South Africa,AAA
MOMMET SHS LTD,ZAE000269890,SBK9S7588,0.0%,Financials,South Africa,BBB
MOTUS HOLD LTD SHS,ZAE000261913,SBDRN3H04,0.0%,Consumer Discretionary,South Africa,A
