Security Description,ISIN,CUSIP,Market Value %,GICS Sector,Country Name,MSCI ESG Rating
91APP INC,KYG6525T1022,SBM90F984,0.0%,Information Technology,Taiwan (Republic of China),
ABL BIO INC,KR7298380007,SBH3Q8S72,0.0%,Health Care,"Korea (South), Republic of",CCC
ABOITIZ EQUITY VENTURES PHP1 INC,PHY0001Z1040,S60684115,0.0%,Industrials,Philippines,BBB
AC ENERGY CORPORATION CORP,PHY1001H1024,SBMBZPW42,0.0%,Utilities,Philippines,BB
ACBEL POLYTECH INC,TW0006282007,S66764507,0.0%,Industrials,Taiwan (Republic of China),
ACCTON TECHNOLOGY CORP,TW0002345006,S60052149,0.0%,Information Technology,Taiwan (Republic of China),BBB
ACE HARDWARE INDONESIA,ID1000125503,SB7JW3510,0.0%,Consumer Discretionary,Indonesia,B
ACE TECHNOLOGIES CORP,KR7088800008,SB125V958,0.0%,Information Technology,"Korea (South), Republic of",CCC
ACER INC,TW0002353000,S60058500,0.0%,Information Technology,Taiwan (Republic of China),AAA
ACTRON TECHNOLOGY CORP,TW0008255001,SB06BZ343,0.0%,Consumer Discretionary,Taiwan (Republic of China),
ADARO ENERGY INDONESIA,ID1000111305,SB3BQFC47,0.0%,Energy,Indonesia,BBB
ADARO MINERALS INDONESIA (PROPOSED,ID1000165608,SBNC1Q254,0.0%,Materials,Indonesia,
ADATA TECHNOLOGY LTD,TW0003260006,S67189431,0.0%,Information Technology,Taiwan (Republic of China),
ADI SARANA ARMADA,ID1000125800,SB88SVC00,0.0%,Industrials,Indonesia,
ADIMMUNE CORP,TW0004142005,SB3ML0F63,0.0%,Health Care,Taiwan (Republic of China),
ADVANCED CERAMIC X CORP,TW0003152005,SB04S9355,0.0%,Information Technology,Taiwan (Republic of China),
ADVANCED ENERGY SOLUTION HOLDING L,KYG0097V1086,SBMXC4S25,0.0%,Industrials,Taiwan (Republic of China),
ADVANCED INFO SERVICE NON-VOTING D,TH0268010R11,S64126097,0.0%,Communication Services,Thailand,AA
ADVANCED INFO SERVICE PCL,TH0268010Z03,S64125685,0.0%,Communication Services,Thailand,AA
ADVANCED INFO SERVICE PCL F,TH0268010Z11,S64125917,0.0%,Communication Services,Thailand,AA
ADVANCED NANO PRODUCT LTD,KR7121600001,SB4044299,0.0%,Materials,"Korea (South), Republic of",
ADVANCED WIRELESS SEMICONDUCTOR,TW0008086000,SB1LJ5180,0.0%,Information Technology,Taiwan (Republic of China),
ADVANTECH LTD,TW0002395001,S62026737,0.0%,Information Technology,Taiwan (Republic of China),BB
AFREECATV LTD,KR7067160002,S67245084,0.0%,Communication Services,"Korea (South), Republic of",B
AHNLAB INC,KR7053800009,S64062714,0.0%,Information Technology,"Korea (South), Republic of",BBB
AIA GROUP LTD,HK0000069689,SB4TX8S14,0.2%,Financials,Hong Kong,AA
AIRPORTS OF THAILAND NON-VOTING DR,TH0765010R16,S67412064,0.0%,Industrials,Thailand,A
AIRPORTS OF THAILAND PCL,TH0765010Z08,BRT8GK778,0.0%,Industrials,Thailand,A
AIRPORTS OF THAILAND PCL F,TH0765010Z16,SBDFLHY10,0.0%,Industrials,Thailand,A
AKR CORPORINDO,ID1000106701,S60481561,0.0%,Energy,Indonesia,
ALCHIP TECHNOLOGIES LTD,KYG022421088,SB4TPSL08,0.0%,Information Technology,Taiwan (Republic of China),
ALIBABA PICTURES GROUP LTD,BMG0171W1055,SBPYM7493,0.0%,Communication Services,Hong Kong,BB
ALLIANCE BANK MALAYSIA BHD,MYL2488OO004,S65569386,0.0%,Financials,Malaysia,A
ALLIANCE GLOBAL GROUP INC,PHY003341054,S61471058,0.0%,Industrials,Philippines,
ALLIED SUPREME CORP,TW0004770003,SBMHYZW55,0.0%,Materials,Taiwan (Republic of China),
ALLKEM LTD,AU0000193666,SBLSNC787,0.0%,Materials,Australia,A
ALPHA NETWORKS INC,TW0003380002,SB04C5Z14,0.0%,Information Technology,Taiwan (Republic of China),
ALS LTD,AU000000ALQ6,BRSFHQFH8,0.0%,Industrials,Australia,AA
ALTEOGEN INC,KR7196170005,SBSTJWN08,0.0%,Health Care,"Korea (South), Republic of",B
ALUMINA LTD,AU000000AWC3,S69549855,0.0%,Materials,Australia,AA
AMATA CORPORATION NON-VOTING DR PC,TH0617010R19,S65929655,0.0%,Real Estate,Thailand,BBB
AMAZING MICROELECTRONIC CORP,TW0006411002,SB8705X63,0.0%,Information Technology,Taiwan (Republic of China),
AMICOGEN INC,KR7092040005,SBDGTKQ79,0.0%,Health Care,"Korea (South), Republic of",CCC
AMMB HOLDINGS,MYL1015OO006,S60470234,0.0%,Financials,Malaysia,AA
AMOREG,KR7002790004,S66659319,0.0%,Consumer Staples,"Korea (South), Republic of",AA
AMOREPACIFIC CORP,KR7090430000,SB15SK505,0.0%,Consumer Staples,"Korea (South), Republic of",A
AMP LTD,AU000000AMP6,S67099580,0.0%,Financials,Australia,A
AMPOL LTD,AU0000088338,SBM912016,0.0%,Energy,Australia,A
AMTRAN TECHNOLOGY LTD,TW0002489002,S61858262,0.0%,Consumer Discretionary,Taiwan (Republic of China),
ANANTI INC,KR7025980004,S62359369,0.0%,Consumer Discretionary,"Korea (South), Republic of",CCC
