Security Description,ISIN,CUSIP,Market Value %,GICS Sector,Country Name,MSCI ESG Rating
360 DIGITECH ADR INC,US88557W1018,SBFMV9Y28,0.0%,Financials,China,B
360 SECURITY TECHNOLOGY INC A,CNE100002RZ2,SBDF57C14,0.0%,Information Technology,China,BBB
37 INTERACTIVE ENTERTAINMENT NETWO,CNE1000010N2,SBD5CMH28,0.0%,Communication Services,China,A
3SBIO INC,KYG8875G1029,BRST9T0C8,0.0%,Health Care,China,A
A-LIVING SERVICES LTD H,CNE100002RY5,SBFWK4M22,0.0%,Real Estate,China,BBB
AAC TECHNOLOGIES HOLDINGS INC,KYG2953R1149,SB85LKS18,0.0%,Information Technology,China,A
ADVANCED MICRO-FABRICATION EQUIPME,CNE100003MM9,SBK71F666,0.0%,Information Technology,China,CCC
AECC AERO-ENGINE CONTROL LTD A,CNE000000RM5,SBD5CMK57,0.0%,Industrials,China,CCC
AECC AVIATION POWER LTD A,CNE000000JW1,SBP3R5185,0.0%,Industrials,China,CCC
AGILE GROUP HOLDINGS LTD,KYG011981035,SB0PR2F44,0.0%,Real Estate,China,B
AGORA ADR INC,US00851L1035,00851L103,0.0%,Information Technology,China,BBB
AGRICULTURAL BANK OF CHINA LTD A,CNE100000RJ0,SBP3R2281,0.0%,Financials,China,BBB
AGRICULTURAL BANK OF CHINA LTD H,CNE100000Q43,SB60LZR68,0.0%,Financials,China,BBB
AIER EYE HOSPITAL GROUP LTD A,CNE100000GR6,SBD5CLQ46,0.0%,Health Care,China,B
AIR CHINA LTD A,CNE000001NN0,SBP3R4G66,0.0%,Industrials,China,BB
AIR CHINA LTD H,CNE1000001S0,SB04KNF18,0.0%,Industrials,China,BB
AIRTAC INTERNATIONAL GROUP,KYG014081064,SB52J8166,0.0%,Industrials,China,BB
AK MEDICAL HOLDINGS LTD,KYG020141019,SBFD6SZ07,0.0%,Health Care,China,A
AKESO INC,KYG0146B1032,SBLFJ7Y16,0.0%,Health Care,China,AA
ALIBABA GROUP HOLDING ADR REPRESEN,US01609W1027,01609W102,0.0%,Consumer Discretionary,China,BBB
ALIBABA GROUP HOLDING LTD,KYG017191142,SBK6YZP59,0.1%,Consumer Discretionary,China,BBB
ALIBABA HEALTH INFORMATION TECH LT,BMG0171K1018,SBRXVS604,0.0%,Consumer Discretionary,China,A
ALPHAMAB ONCOLOGY,KYG0330A1013,SBL6WGG45,0.0%,Health Care,China,
ALUMINUM CORPORATION OF CHINA LTD,CNE1000001T8,S64253958,0.0%,Materials,China,B
ALUMINUM CORPORATION OF CHINA LTD,CNE1000000T0,SBP3R4D36,0.0%,Materials,China,B
AMLOGIC (SHANGHAI) LTD A,CNE100003LZ3,SBK71BW41,0.0%,Information Technology,China,CCC
ANGANG STEEL LTD H,CNE1000001V4,S60156445,0.0%,Materials,China,
ANGEL YEAST LTD A,CNE0000014G0,SBP3RH122,0.0%,Consumer Staples,China,BB
ANHUI CONCH CEMENT LTD A,CNE0000019V8,SBP3R2Z10,0.0%,Materials,China,B
ANHUI CONCH CEMENT LTD H,CNE1000001W2,S60803962,0.0%,Materials,China,B
ANHUI GUJING DISTILLERY LTD A,CNE000000MD5,SBD5M1G40,0.0%,Consumer Staples,China,B
ANHUI GUJING DISTILLERY LTD B,CNE000000K82,S60266913,0.0%,Consumer Staples,China,B
ANHUI HONGLU STEEL CONSTRUCTION (G,CNE100000Z75,SBMTCVM95,0.0%,Materials,China,B
