Security Description,ISIN,CUSIP,Market Value %,GICS Sector,Country Name,MSCI ESG Rating
A P MOLLER MAERSK CLASS B,DK0010244508,S42530485,0.1%,Industrials,Denmark,AA
A2A,IT0001233417,S54991310,0.0%,Utilities,Italy,BBB
AALBERTS NV,NL0000852564,SB1W8P143,0.0%,Industrials,Netherlands,A
AALBERTS NV RIGHT,NL0015000W81,SBMXWYK41,0.0%,Industrials,Netherlands,A
ABB LTD,CH0012221716,S71088991,0.0%,Industrials,Switzerland,AA
ABN AMRO BANK NV,NL0011540547,BRSX5C4P7,0.0%,Financials,Netherlands,A
ACCIONA SA,ES0125220311,S55791073,0.0%,Utilities,Spain,AA
ACCOR SA,FR0000120404,S58528423,0.0%,Consumer Discretionary,France,A
ACS ACTIVIDADES DE CONSTRUCCION Y,ES0167050915,SB01FLQ61,0.0%,Industrials,Spain,A
ADECCO GROUP AG,CH0012138605,S71107205,0.0%,Industrials,Switzerland,AA
ADEVINTA,NO0010844038,SBJ0DP403,0.0%,Communication Services,France,A
ADIDAS N AG,DE000A1EWWW0,S40319766,0.0%,Consumer Discretionary,Germany,AAA
ADYEN NV,NL0012969182,SBZ1HM422,0.0%,Information Technology,Netherlands,A
AEGON NV,NL0000303709,S59273755,0.0%,Financials,Netherlands,AA
AEGON NV RIGHTS,NL0015000SA1,SBLFBFC10,0.0%,Financials,Netherlands,AA
AENA SME SA,ES0105046009,SBVRZ8L13,0.0%,Industrials,Spain,A
AEROFLOT ROSSIYSKIYE AVIALINII,RU0009062285,SB58X5882,0.0%,Industrials,Russian Federation,B
AEROPORTS DE PARIS SA,FR0010340141,SB164FY16,0.0%,Industrials,France,A
AFFIMED NV,NL0010872420,SBQQF5R21,0.0%,Health Care,Germany,
AGEAS SA,BE0974264930,SB86S2N06,0.0%,Financials,Belgium,A
AIB GROUP PLC,IE00BF0L3536,SBF0L3530,0.0%,Financials,Ireland,AA
AIR LIQUIDE S.A. LOYALTY BONUS SHA,FR0000053951,BRSF0JUN2,0.0%,Materials,France,A
AIRBUS,NL0000235190,S40122509,0.0%,Industrials,France,BB
AK ALROSA,RU0007252813,SB6QPBP21,0.0%,Materials,Russian Federation,CCC
AK ALROSA,RU0007252813,SB1FY8D20,0.0%,Materials,Russian Federation,CCC
AKBANK A,TRAAKBNK91N6,SB03MN709,0.0%,Financials,Turkey,BBB
AKER,NO0010234552,SB02R4D92,0.0%,Industrials,Norway,AA
AKER BP,NO0010345853,SB1L95G36,0.0%,Energy,Norway,A
AKZO NOBEL NV,NL0013267909,SBJ2KSG28,0.0%,Materials,Netherlands,AAA
ALCON AG,CH0432492467,SBJT1GR57,0.0%,Health Care,Switzerland,A
ALFA LAVAL,SE0000695876,S73326878,0.0%,Industrials,Sweden,AA
ALIOR BANK SA,PLALIOR00045,SB8W8F130,0.0%,Financials,Poland,
ALK-ABELLO CLASS B,DK0061802139,SBNHSHK62,0.0%,Health Care,Denmark,A
ALLEGRO SA,LU2237380790,SBMBQDF63,0.0%,Consumer Discretionary,Poland,A
ALLIANZ,DE0008404005,S52314853,0.1%,Financials,Germany,AAA
ALPHA SERVICES AND HOLDINGS SA,GRS015003007,SBZ1MXR76,0.0%,Financials,Greece,AA
ALSTOM SA,FR0010220475,SB0DJ8Q52,0.0%,Industrials,France,AA
ALZCHEM AG,DE000A2YNT30,SBKFHT869,0.0%,Materials,Germany,
AMADEUS IT GROUP SA,ES0109067019,SB3MSM288,0.0%,Information Technology,Spain,AA
AMBU CLASS B,DK0060946788,SBD9G3331,0.0%,Health Care,Denmark,AA
AMPLIFON,IT0004056880,SB14NJ712,0.0%,Health Care,Italy,AA
AMUNDI SA,FR0004125920,BRSWYH3F9,0.0%,Financials,France,AA
ANADOLU EFES BIRACILIK VE MALT SAN,TRAAEFES91A9,SB03MNV44,0.0%,Consumer Staples,Turkey,BBB
ANDRITZ AG,AT0000730007,SB1WVF685,0.0%,Industrials,Austria,AA
ANHEUSER BUSCH INBEV NV,BE0974293251,SBYYHL233,0.0%,Consumer Staples,Belgium,AA
APERAM SA,LU0569974404,SB58C6H18,0.1%,Materials,Luxembourg,AA
APERAM SA RIGHTS,NL0015000WW7,SBMGJRR09,0.0%,Materials,Luxembourg,AA
ARBONIA AG,CH0110240600,S71327357,0.0%,Industrials,Switzerland,BB
ARCELIK A,TRAARCLK91H5,SB03MP183,0.0%,Consumer Discretionary,Turkey,AAA
ARCELORMITTAL SA,LU1598757687,SBYPBS670,0.1%,Materials,Luxembourg,BB
ARCELORMITTAL SA RIGHTS,NL0015000TM4,SBMGJRS16,0.0%,Materials,Luxembourg,BB
ARGENX,NL0010832176,SBNHKYX44,0.0%,Health Care,Netherlands,A
ARKEMA SA,FR0010313833,SB0Z5YZ28,0.0%,Materials,France,A
AROUNDTOWN SA,LU1673108939,SBF0CK441,0.0%,Real Estate,Germany,BBB
ASELSAN ELEKTRONIK SANAYI VE TICAR,TRAASELS91H2,SB03MP415,0.0%,Industrials,Turkey,BBB
ASM INTERNATIONAL NV,NL0000334118,S51652949,0.0%,Information Technology,Netherlands,A
ASML HOLDING NV,NL0010273215,BRSGBFS74,0.0%,Information Technology,Netherlands,AAA
ASR NEDERLAND NV,NL0011872643,SBD9PNF26,0.0%,Financials,Netherlands,A
ASSA ABLOY CLASS B,SE0007100581,SBYPC1T40,0.0%,Industrials,Sweden,AA
ASSECO POLAND SA,PLSOFTB00016,S59789537,0.0%,Information Technology,Poland,AA
ASSICURAZIONI GENERALI,IT0000062072,S40567190,0.0%,Financials,Italy,AA
ATLANTIA,IT0003506190,S76671635,0.0%,Industrials,Italy,BBB
ATLANTICA SUSTAINABLE INFRASTRUCTU,GB00BLP5YB54,SBLP5YB56,0.0%,Utilities,Spain,
ATLAS COPCO CLASS A,SE0017486889,SBLDBN417,0.0%,Industrials,Sweden,AA
