Security Description,ISIN,CUSIP,Market Value %,GICS Sector,Country Name,MSCI ESG Rating
3R PETROLEUM OLEO E GAS SA,BRRRRPACNOR5,SBLF7QT39,0.0%,Energy,Brazil,BBB
ABU DHABI COMMERCIAL BANK,AEA000201011,S65454647,0.0%,Financials,United Arab Emirates,AA
ABU DHABI ISLAMIC BANK,AEA000801018,S60017282,0.0%,Financials,United Arab Emirates,A
ABU DHABI NATIONAL OIL COMPANY FOR,AEA006101017,SBYVGM642,0.0%,Consumer Discretionary,United Arab Emirates,BBB
AERIS INDUSTRIA E COMERCIO DE EQUI,BRAERIACNOR4,SBMXWTH61,0.0%,Industrials,Brazil,BB
AES BRASIL SA,BRAESBACNOR7,SBMYVVL03,0.0%,Utilities,Brazil,AAA
AFYA LTD,KYG011251066,SBKF9D574,0.0%,Consumer Discretionary,Brazil,
AGTHIA GROUP,AEA001901015,SB0LWKV56,0.0%,Consumer Staples,United Arab Emirates,
AGUAS ANDINAS SA,CL0000000035,S23112386,0.0%,Utilities,Chile,BBB
AIR ARABIA,AEA003001012,SB23DL404,0.0%,Industrials,United Arab Emirates,A
AIRTEL AFRICA PLC,GB00BKDRYJ47,SBKDRYJ45,0.0%,Communication Services,Nigeria,A
AL AHLI BANK,KW0EQ0100044,S60131109,0.0%,Financials,Kuwait,BB
AL MEERA CONSUMER GOODS COMPANY,QA000A0YDSW8,SB51SZP70,0.0%,Consumer Staples,Qatar,BB
AL YAH SATELLITE COMMUNICATIONS CO,AEA007501017,SBL6P8C37,0.0%,Communication Services,United Arab Emirates,
ALDAR PROPERTIES,AEA002001013,SB0LX3Y27,0.0%,Real Estate,United Arab Emirates,BB
ALEXANDRIA CONT,EGS42111C012,S63258594,0.0%,Industrials,Egypt,
ALFA A,MXP000511016,S20434239,0.0%,Industrials,Mexico,BBB
ALIANSCE SONAE SHOPPING CENTERS SA,BRALSOACNOR5,SBJVHGR14,0.0%,Real Estate,Brazil,BB
ALSEA DE CV,MXP001391012,S25630179,0.0%,Consumer Discretionary,Mexico,BBB
ALUPAR INVESTIMENTO UNITS SA,BRALUPCDAM15,SB8DWT903,0.0%,Utilities,Brazil,BB
AMANAT HOLDING,AEA005901011,SBSZM2779,0.0%,Financials,United Arab Emirates,
AMBEV ADR REPRESENTING ONE SA,US02319V1035,02319V103,0.0%,Consumer Staples,Brazil,AA
AMBEV SA,BRABEVACNOR1,SBG7ZWY74,0.0%,Consumer Staples,Brazil,AA
AMBIPAR PARTICIPACOES E EMPREEND S,BRAMBPACNOR6,SBN2R8050,0.0%,Industrials,Brazil,B
AMERICA MOVIL ADR REP  SERIES L,US02364W1053,02364W105,0.0%,Communication Services,Mexico,B
AMERICA MOVIL L,MXP001691213,S26674705,0.0%,Communication Services,Mexico,B
AMERICANAS SA,BRAMERACNOR6,SBN925F78,0.0%,Consumer Discretionary,Brazil,A
ANTOFAGASTA PLC,GB0000456144,S00456145,0.1%,Materials,Chile,AA
ARABIAN CEMENT,EGS3C0O1C016,SBL0RQQ58,0.0%,Materials,Egypt,
ARAMEX,AEA002301017,SB0LWK712,0.0%,Industrials,United Arab Emirates,
ARCA CONTINENTAL,MX01AC100006,S28238855,0.0%,Consumer Staples,Mexico,A
ARCOS DORADOS HOLDINGS INC CLASS A,VGG0457F1071,SB529PQ05,0.0%,Consumer Discretionary,Brazil,B
AREZZO INDUSTRIA E SA,BRARZZACNOR3,SB3NS1W06,0.0%,Consumer Discretionary,Brazil,BB
ATACADAO CARREFOUR SA,BRCRFBACNOR2,SBF7LBH42,0.0%,Consumer Staples,Brazil,A
ATTIJARIWAFA BANK SA,MA0000012445,SBMX3JT13,0.0%,Financials,Morocco,BBB
AZUL PREF SA,BRAZULACNPR4,SBD97PR44,0.0%,Industrials,Brazil,A
B3 BRASIL BOLSA BALCAO SA,BRB3SAACNOR6,SBG36ZK16,0.0%,Financials,Brazil,A
BANCO BRADESCO PREF SA,BRBBDCACNPR8,SB00FM531,0.0%,Financials,Brazil,AA
BANCO BRADESCO SA,BRBBDCACNOR1,SB00FM861,0.0%,Financials,Brazil,AA
BANCO DE CHILE,CLP0939W1081,S21008453,0.0%,Financials,Chile,A
BANCO DE CREDITO E INVERSION,CLP321331116,S20693552,0.0%,Financials,Chile,A
BANCO DEL BAJIO INSTITUCION DE BAN,MX41BB000000,SBYSX0F30,0.0%,Financials,Mexico,A
BANCO DO BRASIL SA,BRBBASACNOR3,S23285950,0.0%,Financials,Brazil,A
BANCO DO ESTADO DO RIO GRANDE DO S,BRBRSRACNPB4,SB23F8S96,0.0%,Financials,Brazil,BBB
BANCO INTER UNT SA,BRBIDICDAXX3,SBK8XXW38,0.0%,Financials,Brazil,BB
BANCO PAN PREF SA,BRBPANACNPR1,SBPY3V400,0.0%,Financials,Brazil,BB
BANCO SANTANDER BRASIL UNITS SA,BRSANBCDAM13,SB4V5RY45,0.0%,Financials,Brazil,AA
BANCO SANTANDER CHILE,CLP1506A1070,S20002572,0.0%,Financials,Chile,A
BANCOLOMBIA PREF SA,COB07PA00086,SBJ62LW18,0.0%,Financials,Colombia,AA
BANCOLOMBIA SA,COB07PA00078,SBJ62K577,0.0%,Financials,Colombia,AA
BARWA REAL ESTATE,QA000A0KD6J5,SB0YTG261,0.0%,Real Estate,Qatar,B
BAT KENYA,KE0000000075,S60692878,0.0%,Consumer Staples,Kenya,
BB SEGURIDADE SA,BRBBSEACNOR5,SB9N3SQ05,0.0%,Financials,Brazil,BB
BCO BTG PACTUAL UNT SA,BRBPACUNT006,SBZBZVC70,0.0%,Financials,Brazil,BB
BLAU FARMACEUTICA SA,BRBLAUACNOR8,SBZ1KK034,0.0%,Health Care,Brazil,BBB
BOA VISTA SERVICOS SA,BRBOASACNOR6,SBLNLT106,0.0%,Industrials,Brazil,B
BOLSA MEXICANA DE VALORES,MX01BM1B0000,SB39VVF63,0.0%,Financials,Mexico,A
BOUBYAN BANK,KW0EQ0102065,SB15DYL94,0.0%,Financials,Kuwait,BB
BOUBYAN PETROCHM,KW0EQ0500979,S60002086,0.0%,Materials,Kuwait,
