Security Description,ISIN,CUSIP,Market Value %,GICS Sector,Country Name,MSCI ESG Rating
3M INDIA LTD,INE470A01017,S60984960,0.0%,Industrials,India,AA
AARTI INDUSTRIES LTD,INE769A01020,SB0VX2891,0.0%,Materials,India,
AAVAS FINANCIERS LTD,INE216P01012,SBD102C52,0.0%,Financials,India,
ACC LTD,INE012A01025,S61559159,0.0%,Materials,India,B
ADANI ENTERPRISES LTD,INE423A01024,SB01VRK09,0.0%,Industrials,India,CCC
ADANI GREEN ENERGY LTD,INE364U01010,SBD6H7M69,0.0%,Utilities,India,A
ADANI PORTS AND SPECIAL ECONOMIC Z,INE742F01042,SB28XXH27,0.0%,Industrials,India,CCC
ADANI POWER LTD,INE814H01011,SB3WQH495,0.0%,Utilities,India,CCC
ADANI TOTAL GAS LTD,INE399L01023,SBGJW2K23,0.0%,Utilities,India,BBB
ADANI TRANSMISSION LTD,INE931S01010,SBYPCLL69,0.0%,Utilities,India,BBB
ADITYA BIRLA CAPITAL LTD,INE674K01013,SBYVKT105,0.0%,Financials,India,
ADITYA BIRLA FASHION AND RETAIL LT,INE647O01011,SB86PGH39,0.0%,Consumer Discretionary,India,
AFFLE INDIA LTD,INE00WC01027,SBPH04P07,0.0%,Communication Services,India,
AIA ENGINEERING LTD,INE212H01026,SB0QDXM58,0.0%,Industrials,India,
AJANTA PHARMA LTD,INE031B01049,SBWFGD748,0.0%,Health Care,India,BB
AKZO NOBEL INDIA LTD,INE133A01011,S61248969,0.0%,Materials,India,BB
ALEMBIC PHARMACEUTICALS LTD,INE901L01018,SB6912766,0.0%,Health Care,India,BBB
ALKYL AMINES CHEMICALS LTD,INE150B01039,SBMGH7186,0.0%,Materials,India,
ALLCARGO LOGISTICS LTD,INE418H01029,SB1747332,0.0%,Industrials,India,
AMARA RAJA BATTERIES LTD,INE885A01032,SB8BGVX29,0.0%,Industrials,India,CCC
AMBER ENTERPRISES INDIA LTD,INE371P01015,BRTESX1P0,0.0%,Consumer Discretionary,India,
AMBUJA CEMENTS LTD,INE079A01024,SB09QQ119,0.0%,Materials,India,B
ANGEL ONE LTD,INE732I01013,SBMCMVV59,0.0%,Financials,India,
APL APOLLO TUBES LTD,INE702C01027,SBNDTGN93,0.0%,Materials,India,
APOLLO HOSPITALS ENTERPRISE LTD,INE437A01024,S62735832,0.0%,Health Care,India,BBB
APOLLO TYRES,INE438A01022,S61689022,0.0%,Consumer Discretionary,India,
ASHOK LEYLAND LTD,INE208A01029,SB01NFT13,0.0%,Industrials,India,BBB
ASIAN PAINTS LTD,INE021A01026,SBCRWL656,0.0%,Materials,India,AA
ASTRAL LTD,INE006I01046,SBR2NB244,0.0%,Industrials,India,A
ATUL LTD,INE100A01010,S61397592,0.0%,Materials,India,CCC
AU SMALL FINANCE BANK LTD,INE949L01017,SBF1YBK21,0.0%,Financials,India,
AUROBINDO PHARMA LTD,INE406A01037,S67026344,0.0%,Health Care,India,B
AVENUE SUPERMARTS LTD,INE192R01011,SBYW1G334,0.0%,Consumer Staples,India,B
AXIS BANK GDR LTD,US05462W1099,SB06CDW23,0.0%,Financials,India,A
AXIS BANK LTD,INE238A01034,SBPFJHC71,0.1%,Financials,India,A
BAJAJ AUTO LTD,INE917I01010,SB2QKXW08,0.0%,Consumer Discretionary,India,BBB
BAJAJ ELECTRICALS LTD,INE193E01025,S64150626,0.0%,Consumer Discretionary,India,CCC
BAJAJ FINANCE LTD,INE296A01024,SBD2N0P22,0.0%,Financials,India,A
BAJAJ FINSERV LTD,INE918I01018,SB2QKWK11,0.0%,Financials,India,BB
BALKRISHNA INDUSTRIES LTD,INE787D01026,S63887889,0.0%,Consumer Discretionary,India,BB
BALRAMPUR CHINI MILLS LTD,INE119A01028,SB06KS323,0.0%,Consumer Staples,India,
BANDHAN BANK LTD,INE545U01014,SBG1SV454,0.0%,Financials,India,A
BASF INDIA LTD,INE373A01013,S61526158,0.0%,Materials,India,BBB
BATA INDIA LTD,INE176A01028,SBYMFG133,0.0%,Consumer Discretionary,India,BBB
BAYER CROPSCIENCE LTD,INE462A01022,S67169920,0.0%,Materials,India,BB
BERGER PAINTS INDIA LTD,INE463A01038,SBV8TBJ18,0.0%,Materials,India,BBB
BHARAT ELECTRONICS LTD,INE263A01024,SBF1THH69,0.0%,Industrials,India,B
BHARAT FORGE LTD,INE465A01025,SB0C1DM31,0.0%,Consumer Discretionary,India,CCC
BHARAT PETROLEUM LTD,INE029A01011,S60997236,0.0%,Energy,India,BB
BHARTI AIRTEL LTD,INE397D01024,S64423270,0.0%,Communication Services,India,BBB
BIOCON LTD,INE376G01013,S67412510,0.0%,Health Care,India,BB
BIRLASOFT LTD,INE836A01035,SB1LQJY03,0.0%,Information Technology,India,
BLUE STAR LTD,INE472A01039,SB1FDHG53,0.0%,Industrials,India,BBB
BOROSIL RENEWABLES LTD,INE666D01022,SBF93XP09,0.0%,Information Technology,India,
BRIGADE ENTERPRISES LTD,INE791I01019,SB29ZGD40,0.0%,Real Estate,India,
BRIGHTCOM GROUP LTD,INE425B01027,SB88SZ731,0.0%,Communication Services,India,
BRITANNIA INDUSTRIES LTD,INE216A01030,SBGSQG476,0.0%,Consumer Staples,India,BBB
BSE LTD,INE118H01025,SBD3DWQ61,0.0%,Financials,India,
CAN FIN HOMES LTD,INE477A01020,SBF0VND10,0.0%,Financials,India,
CANARA BANK LTD,INE476A01014,S65800120,0.0%,Financials,India,A
CARBORUNDUM UNIVERSAL LTD,INE120A01034,SB6X57685,0.0%,Materials,India,
CARTRADE TECH  LTD,INE290S01011,SBNK8Z101,0.0%,Consumer Discretionary,India,
CASTROL INDIA LTD,INE172A01027,SBKS8B795,0.0%,Materials,India,
CEAT LTD,INE482A01020,S63454821,0.0%,Consumer Discretionary,India,
CENTRAL DEPOSITORY SERVICES (INDIA,INE736A01011,SBF472167,0.0%,Financials,India,
CENTURY PLYBOARDS INDIA LTD,INE348B01021,SB03KTQ56,0.0%,Materials,India,
CENTURY TEXTILES AND INDUSTRIES LT,INE055A01016,S60999059,0.0%,Materials,India,B
CG POWER AND INDUSTRIAL SOLUTIONS,INE067A01029,SB1B90H95,0.0%,Industrials,India,
CHAMBAL FERTILISERS AND CHEMICALS,INE085A01013,S60999380,0.0%,Materials,India,
CHEMPLAST SANMAR LTD,INE488A01050,SBMCH1W19,0.0%,Materials,India,
CHOLAMANDALAM FINANCIAL HOLDINGS L,INE149A01033,SBF93XC78,0.0%,Financials,India,A
CHOLAMANDALAM INVESTMENT AND FINAN,INE121A01024,SBJ9K2H45,0.0%,Financials,India,BBB
CIPLA LTD,INE059A01026,SB0111084,0.0%,Health Care,India,BBB
CITY UNION BANK LTD,INE491A01021,S63139406,0.0%,Financials,India,
CLEAN SCIENCE AND TECHNOLOGY LTD,INE227W01023,SBL540N60,0.0%,Materials,India,
COAL INDIA LTD,INE522F01014,SB4Z9XF57,0.0%,Energy,India,CCC
COFORGE LTD,INE591G01017,SB02PD817,0.0%,Information Technology,India,
COLGATE PALMOLIVE INDIA LTD,INE259A01022,S61396966,0.0%,Consumer Staples,India,AA
COMPUTER AGE MANAGEMENT SERVICES L,INE596I01012,SBLF7FN05,0.0%,Information Technology,India,
CONTAINER CORPORATION OF INDIA LTD,INE111A01025,BPM1LQ437,0.0%,Industrials,India,B
COROMANDEL INTERNATIONAL LTD,INE169A01031,SB0VDZN51,0.0%,Materials,India,BB
CREDITACCESS GRAMEEN LTD,INE741K01010,SBYVKG533,0.0%,Financials,India,
CRISIL LTD,INE007A01025,SB45Z3536,0.0%,Financials,India,BBB
CROMPTON GREAVES CONSUMER ELECTRIC,INE299U01018,SBD87BS87,0.0%,Consumer Discretionary,India,AA
CUMMINS INDIA LTD,INE298A01020,S62948633,0.0%,Industrials,India,BB
CYIENT LTD,INE136B01020,SB19HGC26,0.0%,Information Technology,India,
DABUR INDIA LTD,INE016A01026,S62973565,0.0%,Consumer Staples,India,A
DALMIA BHARAT LTD,INE00R701025,SBFN2YR21,0.0%,Materials,India,
DEEPAK NITRITE LTD,INE288B01029,SBNGMX232,0.0%,Materials,India,
DELHIVERY LTD,INE148O01028,SBN7FZ698,0.0%,Industrials,India,
DELTA CORP LTD,INE124G01033,SB00HR983,0.0%,Consumer Discretionary,India,
DEVYANI INTERNATIONAL LTD,INE872J01023,SBKVD6546,0.0%,Consumer Discretionary,India,
DHANI SERVICES LTD,INE274G01010,SB2QP4C25,0.0%,Financials,India,
DIVIS LABORATORIES LTD,INE361B01024,S66025180,0.0%,Health Care,India,BB
DIXON TECHNOLOGIES (INDIA) LTD,INE935N01020,SBNC54127,0.0%,Consumer Discretionary,India,
DLF LTD,INE271C01023,SB1YLCV08,0.0%,Real Estate,India,BB
DR LAL PATHLABS LTD,INE600L01024,SBYY2W037,0.0%,Health Care,India,A
DR REDDYS LABORATORIES LTD,INE089A01023,S64109598,0.0%,Health Care,India,BBB
ECLERX SERVICES LTD,INE738I01010,SB29NPW00,0.0%,Information Technology,India,
EDELWEISS FINANCIAL SERVICES LTD,INE532F01054,SB291KM97,0.0%,Financials,India,
EICHER MOTORS LTD,INE066A01021,SBMW4CV81,0.0%,Consumer Discretionary,India,A
EID PARRY INDIA LTD,INE126A01031,SB083S062,0.0%,Materials,India,BB
EMAMI LTD,INE548C01032,S67410357,0.0%,Consumer Staples,India,
EMBASSY OFFICE PARKS REIT UNITS,INE041025011,SBJH4V155,0.0%,Real Estate,India,
ENDURANCE TECHNOLOGIES LTD,INE913H01037,SBYZ02R33,0.0%,Consumer Discretionary,India,
EXIDE INDUSTRIES LTD,INE302A01020,SB1D3ZC95,0.0%,Consumer Discretionary,India,
FEDERAL BANK LTD,INE171A01029,SBFT7KB79,0.0%,Financials,India,A
FINOLEX CABLES LTD,INE235A01022,SB1LDTB83,0.0%,Industrials,India,
FINOLEX INDUSTRIES LTD,INE183A01024,SBN4MYC28,0.0%,Materials,India,BB
FIRSTSOURCE SOLUTIONS LTD,INE684F01012,SB1KKXG34,0.0%,Information Technology,India,
FORTIS HEALTHCARE LTD,INE061F01013,SB1XC0984,0.0%,Health Care,India,
FSN E-COMMERCE VENTURES LTD,INE388Y01029,SBP4DCB41,0.0%,Consumer Discretionary,India,
GAIL INDIA LTD,INE129A01019,S61334058,0.0%,Utilities,India,BB
GHCL LTD,INE539A01019,S63975791,0.0%,Materials,India,
GILLETTE INDIA LTD,INE322A01010,S61399317,0.0%,Consumer Staples,India,BB
GLAXOSMITHKLINE PHARMACEUTICALS LT,INE159A01016,S61179826,0.0%,Health Care,India,
GLENMARK PHARMACEUTICALS LTD,INE935A01035,S66987553,0.0%,Health Care,India,
GMM PFAUDLER LTD,INE541A01023,SB1FXCV55,0.0%,Industrials,India,
