Security Description,ISIN,CUSIP,Market Value %,GICS Sector,Country Name,MSCI ESG Rating
ADVANTEST CORP,JP3122400009,S68704907,0.0%,Information Technology,Japan,A
AEON LTD,JP3388200002,S64800485,0.0%,Consumer Staples,Japan,AA
AEON MALL LTD,JP3131430005,S65342024,0.0%,Real Estate,Japan,BB
AGC INC,JP3112000009,S60552080,0.0%,Industrials,Japan,BBB
AISIN CORP,JP3102000001,S60107026,0.0%,Consumer Discretionary,Japan,B
AJINOMOTO INC,JP3119600009,S60109063,0.0%,Consumer Staples,Japan,AA
ANA HOLDINGS INC,JP3429800000,S60149085,0.0%,Industrials,Japan,A
ASAHI GROUP HOLDINGS LTD,JP3116000005,S60544095,0.0%,Consumer Staples,Japan,AA
ASAHI KASEI CORP,JP3111200006,S60546033,0.0%,Materials,Japan,AA
ASICS CORP,JP3118000003,S60573789,0.0%,Consumer Discretionary,Japan,AA
ASTELLAS PHARMA INC,JP3942400007,S69853836,0.1%,Health Care,Japan,AA
AVANTIA LTD,JP3337500007,S65328205,0.0%,Consumer Discretionary,Japan,
AZBIL CORP,JP3937200008,S69855435,0.0%,Information Technology,Japan,AAA
BANDAI NAMCO HOLDINGS INC,JP3778630008,SB0JDQD42,0.0%,Consumer Discretionary,Japan,B
BRIDGESTONE CORP,JP3830800003,S61321014,0.0%,Consumer Discretionary,Japan,A
BROTHER INDUSTRIES LTD,JP3830000000,S61465001,0.0%,Information Technology,Japan,A
CANON INC,JP3242800005,S61723235,0.0%,Information Technology,Japan,BBB
CAPCOM LTD,JP3218900003,S61736948,0.0%,Communication Services,Japan,A
CENTRAL JAPAN RAILWAY,JP3566800003,S61835526,0.0%,Industrials,Japan,BBB
CHIBA BANK LTD,JP3511800009,S61905634,0.0%,Financials,Japan,A
CHUGAI PHARMACEUTICAL LTD,JP3519400000,S61964086,0.0%,Health Care,Japan,AA
CONCORDIA FINANCIAL GROUP LTD,JP3305990008,SBD97JW75,0.0%,Financials,Japan,BB
CREDIT SAISON LTD,JP3271400008,S65918096,0.1%,Financials,Japan,BBB
CYBER AGENT INC,JP3311400000,S62205018,0.0%,Communication Services,Japan,A
DAI NIPPON PRINTING LTD,JP3493800001,S62509062,0.0%,Industrials,Japan,AA
DAI NIPPON TORYO LTD,JP3495400008,S62508874,0.0%,Materials,Japan,
DAI-ICHI LIFE HOLDINGS INC,JP3476480003,SB601QS44,0.0%,Financials,Japan,AA
DAIFUKU LTD,JP3497400006,S62500251,0.0%,Industrials,Japan,AA
DAIICHI SANKYO LTD,JP3475350009,SB0J7D919,0.0%,Health Care,Japan,AA
DAIKIN INDUSTRIES LTD,JP3481800005,S62507249,0.0%,Industrials,Japan,AA
DAIKOKU DENKI LTD,JP3483100008,S65486565,0.0%,Consumer Discretionary,Japan,
DAIWA HOUSE INDUSTRY LTD,JP3505000004,S62513635,0.0%,Real Estate,Japan,A
DAIWA HOUSE REIT CORP,JP3046390005,SB0Z6WY06,0.0%,Real Estate,Japan,BBB
DAIWA SECURITIES GROUP INC,JP3502200003,S62514484,0.0%,Financials,Japan,A
DENSO CORP,JP3551500006,S66403817,0.0%,Consumer Discretionary,Japan,A
DENTSU GROUP INC,JP3551520004,S64162811,0.0%,Communication Services,Japan,BB
EARTH CORP,JP3100190002,SB0NHMM30,0.0%,Consumer Staples,Japan,CCC
EAST JAPAN RAILWAY,JP3783600004,S62985429,0.0%,Industrials,Japan,A
EISAI LTD,JP3160400002,S63072003,0.0%,Health Care,Japan,AA
ENEOS HOLDINGS INC,JP3386450005,SB627LW99,0.0%,Energy,Japan,AA
F-TECH INC,JP3166950000,S63295612,0.0%,Consumer Discretionary,Japan,
FANUC CORP,JP3802400006,S63569347,0.0%,Industrials,Japan,AA
FAST RETAILING LTD,JP3802300008,S63324396,0.0%,Consumer Discretionary,Japan,AA
FIDELITY JAPAN TRUST PLC,GB0003328555,S03328556,0.0%,Financials,Japan,
FUJI ELECTRIC LTD,JP3820000002,S63563654,0.0%,Industrials,Japan,A
FUJIFILM HOLDINGS CORP,JP3814000000,S63565253,0.0%,Information Technology,Japan,AA
FUJITSU GENERAL LTD,JP3818400008,S63642839,0.0%,Consumer Discretionary,Japan,B
FUJITSU LTD,JP3818000006,S63569453,0.0%,Information Technology,Japan,AAA
GLP J-REIT REIT,JP3047510007,SB8RBZV71,0.0%,Real Estate,Japan,B
GMO PAYMENT GATEWAY INC,JP3385890003,SB06CMQ95,0.0%,Information Technology,Japan,BBB
HANKYU HANSHIN HOLDINGS INC,JP3774200004,S64086648,0.0%,Industrials,Japan,AAA
HITACHI LTD,JP3788600009,S64291040,0.1%,Industrials,Japan,A
HITACHI METALS LTD,JP3786200000,S64292014,0.0%,Materials,Japan,A
HITACHI ZOSEN CORP,JP3789000001,S64293087,0.0%,Industrials,Japan,AA
HONDA MOTOR LTD,JP3854600008,S64351455,0.1%,Consumer Discretionary,Japan,A
HORIBA LTD,JP3853000002,S64379472,0.0%,Information Technology,Japan,BBB
HOYA CORP,JP3837800006,S64415060,0.0%,Health Care,Japan,A
HULIC LTD,JP3360800001,S68053172,0.0%,Real Estate,Japan,AA
IBIDEN LTD,JP3148800000,S64561020,0.0%,Information Technology,Japan,AAA
IIDA GROUP HOLDINGS LTD,JP3131090007,SBFDTBS31,0.0%,Consumer Discretionary,Japan,B
INPEX CORP,JP3294460005,SB10RB150,0.0%,Energy,Japan,AAA
ISUZU MOTORS LTD,JP3137200006,S64671043,0.0%,Consumer Discretionary,Japan,BB
ITO EN LTD,JP3143000002,S64557895,0.0%,Consumer Staples,Japan,BBB
ITOCHU CORP,JP3143600009,S64678030,0.0%,Industrials,Japan,AAA
ITOCHU TECHNO-SOLUTIONS CORP,JP3143900003,S62001946,0.0%,Information Technology,Japan,A
JAPAN AVIATION ELECTRONICS INDUSTR,JP3705600009,S64703515,0.0%,Information Technology,Japan,A
JAPAN EXCHANGE GROUP INC,JP3183200009,S67438820,0.0%,Financials,Japan,BBB
JAPAN METROPOLITAN FUND INVESTMENT,JP3039710003,S65133423,0.0%,Real Estate,Japan,BBB
JAPAN POST BANK LTD,JP3946750001,SBYT81659,0.0%,Financials,Japan,B
JAPAN POST HOLDINGS LTD,JP3752900005,SBYT81436,0.0%,Financials,Japan,A
JAPAN POST INSURANCE LTD,JP3233250004,SBYT81543,0.0%,Financials,Japan,BB
JAPAN REAL ESTATE INVESTMENT TRUST,JP3027680002,S63975809,0.0%,Real Estate,Japan,A
JFE HOLDINGS INC,JP3386030005,S65437923,0.0%,Materials,Japan,AA
JSR CORP,JP3385980002,S64709868,0.0%,Materials,Japan,A
KAJIMA CORP,JP3210200006,S64813207,0.0%,Industrials,Japan,A
KANEKA CORP,JP3215800008,S64833601,0.0%,Materials,Japan,A
KAO CORP,JP3205800000,S64838097,0.0%,Consumer Staples,Japan,AA
